tau0,Resolution,L1_Error,L1_Order,L2_Error,L2_Order,max_Error,max_Order,,,,,,,,
10,16,5.31E-02,0.00,1.86E-02,0.00,1.39E-02,0.00,,,,,,,,
10,32,1.86E-02,1.51,6.39E-03,1.54,4.97E-03,1.49,,,,,,,,
10,64,5.23E-03,1.83,1.79E-03,1.84,1.36E-03,1.87,,,,,,,,
10,128,1.34E-03,1.96,4.57E-04,1.97,3.34E-04,2.03,,,,,,,,
10,256,3.39E-04,1.98,1.15E-04,1.99,8.24E-05,2.02,,,,,,,,
1000,16,5.91E-02,0.00,2.09E-02,0.00,1.59E-02,0.00,,,,,,,,
1000,32,2.04E-02,1.54,7.03E-03,1.57,5.52E-03,1.52,,,,,,,,
1000,64,5.53E-03,1.88,1.90E-03,1.89,1.46E-03,1.92,,,,,,,,
1000,128,1.28E-03,2.11,4.46E-04,2.09,3.37E-04,2.11,,,,,,,,
1000,256,2.79E-04,2.20,9.68E-05,2.20,7.32E-05,2.20,,,,,,,,
100000,16,5.91E-02,0.00,2.09E-02,0.00,1.59E-02,0.00,,,,,,,,
100000,32,2.04E-02,1.54,7.03E-03,1.57,5.53E-03,1.52,,,,,,,,
100000,64,5.53E-03,1.88,1.90E-03,1.89,1.46E-03,1.92,,,,,,,,
100000,128,1.28E-03,2.11,4.47E-04,2.09,3.38E-04,2.11,,,,,,,,
100000,256,2.81E-04,2.19,9.74E-05,2.20,7.40E-05,2.19,,,,,,,,
