tau0,Resolution,L1_Error,L1_Order,L2_Error,L2_Order,max_Error,max_Order
10,16,0.0551378031607685,0,0.0193631297074832,0,0.0142915197088502,0
10,32,0.0171076268874593,1.68840213972401,0.00586255191452092,1.72371145933789,0.00449852761877506,1.66763455008271
10,64,0.00510327426979626,1.74514456293796,0.00174835142608574,1.74553359131191,0.00136849715763328,1.71686044217161
10,128,0.00136450952902823,1.90304071016288,0.000467516179206925,1.90290700389996,0.000361311905571324,1.92127573938882
10,256,0.000344797503450823,1.98456123611789,0.000117909017116448,1.98734223988621,8.89083475591185e-05,2.02285400930507
1000,16,0.0616798534160504,0,0.021910179769113,0,0.0161642192122295,0
1000,32,0.0187931948717817,1.71458898868643,0.00648099011850273,1.75731518192312,0.00501162806954456,1.68945256568199
1000,64,0.00523846611809555,1.84299400661746,0.00181225814882505,1.83842575831506,0.00144604459357994,1.7931673079249
1000,128,0.0012494624619801,2.06783687752954,0.000435523581827936,2.05696573396948,0.000332514102954065,2.12062460706656
1000,256,0.000298995630458261,2.06311125265441,0.000104355588356941,2.06124297652069,7.89926223353161e-05,2.07362570960648
100000,16,0.0617612822540997,0,0.0219421194907443,0,0.0161909454370015,0
100000,32,0.0188178874241138,1.71459803127502,0.00649028611663974,1.75734890479945,0.00501961366778698,1.68953899409987
100000,64,0.00524289979236912,1.84366779711436,0.00181438751046936,1.83879946466133,0.00144803800206814,1.79347686733489
100000,128,0.0012522688471407,2.06582064697415,0.000436578047991827,2.0551711187777,0.000332419413322332,2.12302292157062
100000,256,0.000302565238500927,2.04922617287994,0.000105583017017032,2.04786179411147,7.99550513983133e-05,2.05574354983287
