tau0,Resolution,L1_Error,L1_Order,L2_Error,L2_Order,max_Error,max_Order,,,,,,,,
10,16,5.51E-02,0.00,1.94E-02,0.00,1.43E-02,0.00,,,,,,,,
10,32,1.71E-02,1.69,5.86E-03,1.72,4.50E-03,1.67,,,,,,,,
10,64,5.10E-03,1.75,1.75E-03,1.75,1.37E-03,1.72,,,5.10E-03,1.75,1.75E-03,1.75,1.37E-03,1.72
10,128,1.36E-03,1.90,4.68E-04,1.90,3.61E-04,1.92,,,1.36E-03,1.90,4.68E-04,1.90,3.61E-04,1.92
10,256,3.45E-04,1.98,1.18E-04,1.99,8.89E-05,2.02,,,3.45E-04,1.98,1.18E-04,1.99,8.89E-05,2.02
1000,16,6.17E-02,0.00,2.19E-02,0.00,1.62E-02,0.00,,,5.24E-03,1.84,1.81E-03,1.84,1.45E-03,1.79
1000,32,1.88E-02,1.71,6.48E-03,1.76,5.01E-03,1.69,,,1.25E-03,2.07,4.36E-04,2.06,3.33E-04,2.12
1000,64,5.24E-03,1.84,1.81E-03,1.84,1.45E-03,1.79,,,2.99E-04,2.06,1.04E-04,2.06,7.90E-05,2.07
1000,128,1.25E-03,2.07,4.36E-04,2.06,3.33E-04,2.12,,,5.24E-03,1.84,1.81E-03,1.84,1.45E-03,1.79
1000,256,2.99E-04,2.06,1.04E-04,2.06,7.90E-05,2.07,,,1.25E-03,2.07,4.37E-04,2.06,3.32E-04,2.12
100000,16,6.18E-02,0.00,2.19E-02,0.00,1.62E-02,0.00,,,3.03E-04,2.05,1.06E-04,2.05,8.00E-05,2.06
100000,32,1.88E-02,1.71,6.49E-03,1.76,5.02E-03,1.69,,,,,,,,
100000,64,5.24E-03,1.84,1.81E-03,1.84,1.45E-03,1.79,,,,,,,,
100000,128,1.25E-03,2.07,4.37E-04,2.06,3.32E-04,2.12,,,,,,,,
100000,256,3.03E-04,2.05,1.06E-04,2.05,8.00E-05,2.06,,,,,,,,
