tau0,Resolution,L1_Error,L1_Order,L2_Error,L2_Order,max_Error,max_Order
10,16,0.0208681005416563,0,0.00790985724757091,0,0.00634495173342903,0
10,32,0.00496672074211162,2.07093375186752,0.00191024321523511,2.04989532181948,0.00156082219187643,2.02330299386606
10,64,0.00123683037587593,2.00564597575094,0.000476136835003099,2.004308187789,0.000388889673329951,2.00487336482014
10,128,0.000309592407682122,1.99820565964546,0.00011908773356539,1.99935142486106,9.80935785948184e-05,1.98713032271286
10,256,7.74552371384097e-05,1.99893539655346,2.97798856732866e-05,1.99961469799023,2.45882571066475e-05,1.99618922200831
1000,16,0.0200678943448913,0,0.00762271717843079,0,0.00615627281429909,0
1000,32,0.00477006853885389,2.07280734672118,0.00183617470580776,2.05360201673647,0.0015101797866032,2.02733685356302
1000,64,0.00118847609107837,2.00489711532736,0.000457705863212181,2.0042106547387,0.000372938528809902,2.01771055553167
1000,128,0.000297714305670769,1.99711242818755,0.00011449120504333,1.99918399498777,9.40049335404758e-05,1.98812947268298
1000,256,7.45048025627382e-05,1.99852321767223,2.86327573471671e-05,1.99949826368389,2.35503722229163e-05,1.99698661151036
100000,16,0.0200596461264846,0,0.00761977430676206,0,0.00615433998062931,0
100000,32,0.00476804382858134,2.07282675305293,0.00183541537485569,2.05364166866437,0.00150966408336821,2.02737657387094
100000,64,0.0011879820345969,2.00488447836038,0.00045751693107638,2.00420955939183,0.000372771390133267,2.01786452615093
100000,128,0.000297596041853293,1.99708577570851,0.000114444036061333,1.99918285066617,9.39602470479417e-05,1.98816872698351
100000,256,7.44761154183832e-05,1.99850560735945,2.8621007285444e-05,1.99949593057225,2.35383598858191e-05,1.9970367073444
